Nombre_Cancion,Nombre_Artista,cantidad_artistas,anio,mes,dia,nro_playlist,transmisiones,bpm,%_bailable,%_positividad,%_energia,%_sonido_acustico,%_instrumental,Género
Love Grows (Where My Rosemary Goes),Edison Lighthouse,1,1970,1,1,2877,BPM110KeyAModeMajorDanceability53Valence75Energy69Acousticness7Instrumentalness0Liveness17Speechiness3,110,53,75,69,7,0,Pop
Anti-Hero,Taylor Swift,1,2022,10,21,9082,999748277,97,64,51,63,12,0,Rock
Glimpse of Us,Joji,1,2022,6,10,6330,988515741,170,44,27,32,89,0,Hardcore
Seek & Destroy,SZA,1,2022,12,9,1007,98709329,152,65,35,65,44,18,Trance
Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,983637508,112,56,24,66,7,0,Pop
"Come Back Home - From ""Purple Hearts""",Sofia Carson,1,2022,7,12,367,97610446,145,56,43,53,24,0,Trance
Where Are You Now,"Lost Frequencies, Calum Scott",2,2021,7,30,10565,972509632,121,67,26,64,52,0,Electrónica/Dance
I Love You So,The Walters,1,2014,11,28,7536,972164968,76,58,46,67,65,0,Rock
Queencard,(G)I-DLE,1,2023,5,15,451,96273746,130,82,69,83,3,0,Electrónica/Dance
Double Fantasy (with Future),"The Weeknd, Future",2,2023,4,21,1169,96180277,119,60,10,57,1,0,Pop
Alone,Burna Boy,1,2022,11,4,782,96007391,90,61,32,67,15,0,Rock
People Pt.2 (feat. IU),"IU, Agust D",2,2023,4,7,209,95816024,89,73,44,57,39,0,Rock
No Lie,"Sean Paul, Dua Lipa",2,2016,11,18,7370,956865266,102,74,45,89,5,0,Pop
Everything I Love,Morgan Wallen,1,2023,1,31,579,95623148,104,56,72,85,0,0,Pop
fukumean,Gunna,1,2023,5,15,1096,95217315,130,85,22,62,12,0,Electrónica/Dance
What It Is (Solo Version),Doechii,1,2023,3,17,804,95131998,172,74,76,76,6,0,Hardcore
Sure Thing,Miguel,1,2010,5,25,13801,950906471,81,68,51,60,3,0,Rock
"Residente: Bzrp Music Sessions, Vol. 49","Residente, Bizarrap",2,2022,3,3,461,94616487,71,59,70,74,56,0,Rock
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2023,6,2,727,94186466,90,60,13,53,4,0,Rock
Used (feat. Don Toliver),"SZA, Don Toliver",2,2022,12,8,1042,94005786,150,73,71,69,53,0,Trance
Sem Alianï¿½ï¿½a no ,"MC Xenon, Os Gemeos da Putaria",2,2022,12,23,454,93587665,83,53,40,36,73,0,Rock
PERO Tï¿,"Karol G, Quevedo",2,2023,2,23,387,93438910,140,86,68,79,39,0,Techno
Get Lucky - Radio Edit,"Pharrell Williams, Nile Rodgers, Daft Punk",3,2013,1,1,52898,933815613,116,79,87,81,4,0,Pop
BackOutsideBoyz,Drake,1,2022,11,4,1045,93367537,142,85,40,43,4,0,Trance
Wait a Minute!,Willow,1,2015,1,11,11985,924193303,101,76,63,71,3,0,Pop
THATS WHAT I WANT,Lil Nas X,1,2021,9,17,7963,920797189,88,74,55,85,1,0,Rock
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,2023,5,1,327,92035115,104,80,38,88,11,0,Pop
Dark Red,Steve Lacy,1,2017,2,20,10431,920045682,172,60,77,78,45,0,Hardcore
Stan,"Eminem, Dido",2,1999,11,21,17115,918915401,80,78,53,74,4,0,Rock
So Good,Halsey,1,2022,6,9,1057,91781263,83,63,29,62,4,0,Rock
I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",2,2022,1,7,1178,91656026,110,75,85,84,10,0,Pop
My Mind & Me,Selena Gomez,1,2022,11,3,953,91473363,144,60,24,39,57,0,Trance
Super,SEVENTEEN,1,2023,4,24,271,91221625,137,77,35,88,16,0,Techno
Moscow Mule,Bad Bunny,1,2022,5,6,4572,909001996,100,80,29,67,29,0,Rock
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",3,2023,5,12,1094,90839753,127,82,89,85,4,0,Electrónica/Dance
Agudo Mï¿½ï¿½gi,"Styrx, utku INC, Thezth",3,1930,1,1,323,90598517,130,65,49,80,22,4,Electrónica/Dance
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,2,2,200,90025258,123,70,86,68,24,0,Electrónica/Dance
Abcdario,"Junior H, Eden Muï¿½ï",2,2023,5,13,262,89933133,129,70,42,43,78,0,Electrónica/Dance
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,2022,3,25,7112,899183384,107,80,82,80,43,0,Pop
Chance,Paulo Londra,1,2022,4,6,225,89566512,138,72,22,46,24,0,Techno
Infinity,Jaymes Young,1,2017,6,23,4375,888046992,122,67,50,67,15,0,Electrónica/Dance
Ainï¿½ï¿½ï¿½t Tha,Morgan Wallen,1,2023,3,3,356,88791109,121,64,67,80,0,0,Electrónica/Dance
Heartless,Kanye West,1,2008,1,1,17504,887906111,88,79,66,65,5,0,Rock
PROVENZA,Karol G,1,2022,4,21,6587,885093467,111,87,53,52,66,1,Pop
Lover,Taylor Swift,1,2012,1,1,8448,882831184,206,43,50,55,50,0,Hardcore
"Here We Goï¿½ï¿½ï¿½ Again (feat. Tyler, the Cr","The Weeknd, Tyler, The Creator",3,2022,1,7,1420,88103848,135,41,27,64,36,0,Techno
MIDDLE OF THE NIGHT,Elley Duhï¿,1,2020,1,10,4057,872137015,186,41,9,61,2,0,Hardcore
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,6,2,551,86773632,146,61,20,48,21,0,Trance
Streets,Doja Cat,1,2019,11,7,5728,865640097,90,75,19,46,21,4,Rock
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332,86444842,140,65,87,74,22,0,Techno
